2025-12-15 00:49:39 | INFO     | Query OK | Docs: 6 | Retrieval: 0.772s | LLM: 2.168s | Total: 2.940s | Q: Agile nedir?...
2025-12-15 00:49:42 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:49:42 | INFO     | Query OK | Docs: 6 | Retrieval: 0.793s | LLM: 5.082s | Total: 5.875s | Q: Monolitik ve mikroservis mimarisi arasin...
2025-12-15 00:49:44 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:49:44 | INFO     | Query OK | Docs: 6 | Retrieval: 0.781s | LLM: 6.733s | Total: 7.513s | Q: Mikroservis avantajlari nelerdir?...
2025-12-15 00:49:48 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:49:48 | INFO     | Query OK | Docs: 6 | Retrieval: 0.755s | LLM: 1.306s | Total: 2.061s | Q: Scrum nedir?...
2025-12-15 00:49:48 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:49:48 | INFO     | Query OK | Docs: 6 | Retrieval: 0.795s | LLM: 1.452s | Total: 2.246s | Q: Mikroservis avantajlari nelerdir?...
2025-12-15 00:49:49 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:49:49 | INFO     | Query OK | Docs: 6 | Retrieval: 0.778s | LLM: 2.230s | Total: 3.008s | Q: Agile nedir?...
2025-12-15 00:49:50 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:49:50 | INFO     | Query OK | Docs: 6 | Retrieval: 0.799s | LLM: 2.658s | Total: 3.456s | Q: Yazilim mimarisi neden onemlidir?...
2025-12-15 00:49:51 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:49:51 | INFO     | Query OK | Docs: 6 | Retrieval: 0.799s | LLM: 4.154s | Total: 4.952s | Q: Monolitik ve mikroservis mimarisi arasin...
2025-12-15 00:49:56 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:49:56 | INFO     | Query OK | Docs: 6 | Retrieval: 1.170s | LLM: 1.182s | Total: 2.352s | Q: Guvenli yazilim gelistirme sureci nasil ...
2025-12-15 00:49:57 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:49:57 | INFO     | Query OK | Docs: 6 | Retrieval: 1.148s | LLM: 1.393s | Total: 2.540s | Q: Scrum nedir?...
2025-12-15 00:49:57 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:49:57 | INFO     | Query OK | Docs: 6 | Retrieval: 1.192s | LLM: 1.373s | Total: 2.565s | Q: Scrum nedir?...
2025-12-15 00:49:57 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:49:57 | INFO     | Query OK | Docs: 6 | Retrieval: 1.212s | LLM: 1.631s | Total: 2.844s | Q: Agile nedir?...
2025-12-15 00:49:57 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:49:57 | INFO     | Query OK | Docs: 6 | Retrieval: 1.234s | LLM: 2.095s | Total: 3.328s | Q: Agile nedir?...
2025-12-15 00:49:58 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
